,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
114,Ranking of Kings,2021–2022,"Animation,Action,Adventure",23,8.5,"The people of the kingdom look down on the young Prince Bojji, who can neither hear nor speak. They call him ""The Useless Prince"" while jeering at his supposed foolishness.","11,106"
115,"Bastard!! Heavy Metal, Dark Fantasy",2022–2023,"Animation,Action,Adventure",25,6.5,"When evil forces threaten to resurrect Anthrasax, the God of Destruction, the Kingdom of Meta-llicana calls on a volatile dark wizard for help.","2,265"
116,Final Fantasy VII: Advent Children,2005,"Animation,Action,Adventure",101,7.2,An ex-mercenary is forced out of isolation when three mysterious men kidnap and brainwash the city's children afflicted with the Geostigma disease.,"57,459"
117,Kakegurui,2017–2019,"Animation,Drama,Mystery",24,7.1,A gambling prodigy comes to an elite school run by games and turns the order upside down.,"11,933"
118,Redline,2009,"Animation,Action,Sci-Fi",102,7.5,"A story about the most popular racing event in the galaxy, the Redline, and the various racers who compete in it.","16,181"
119,Banana Fish,2018,"Animation,Action,Adventure",22,8.2,The story captures the war between a mafia boss named Dino and a young gang leader searching for redemption.,"7,587"
120,Angel's Egg,1985OAVideo,"Animation,Drama,Fantasy",71,7.6,"A mysterious young girl wanders a desolate, otherworldly landscape, carrying a large egg.","11,163"
121,Wolf Children,2012,"Animation,Drama,Family",117,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.","47,822"
122,My Teen Romantic Comedy SNAFU,2013–2023,"Animation,Comedy,Drama",24,7.9,"About an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. His life change when he was forced to enter the ""Volunteer Service Club"" by his teacher.","8,153"
123,The Animatrix,2003,"Animation,Action,Sci-Fi",100,7.3,A collection of nine short films featuring stories related to The Matrix (1999).,"80,951"
124,Blade Runner: Black Lotus,2021–2022,"Animation,Action,Drama",NA,6.3,Animated series that takes place 17 years before 'Blade Runner 2049'.,"3,145"
125,Call of the Night,2022,"Animation,Comedy,Fantasy",23,7.4,"Kou Yamori is an average middle school student who struggles with grasping the complex concept of love. Because he sees little sense in surrendering to the norm, he soon stops going to ...                See full summary »","2,589"
126,Ghost in the Shell: Stand Alone Complex,2002–2005,"Animation,Action,Crime",24,8.5,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,"20,513"
127,Berserk: The Golden Age Arc I - The Egg of the King,2012,"Animation,Action,Adventure",76,7.5,"A lone sellsword named Guts gets recruited into a mercenary band and attempts to help the Band's leader, Griffith, on his rise to power.","13,756"
128,Only Yesterday,1991,"Animation,Drama,Romance",119,7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,"35,501"
129,Reign of the Seven Spellblades,2023–OA,"Animation,Action,Fantasy",NA,6.7,"Follows Oliver Horn as he enters a prestigious magic school named Kimberly. He discovers that not everything is as it seems, with the emergence of labyrinths, monsters, and other threats that endanger the students.",207
130,Ultraman,2019–2023,"Animation,Action,Adventure",25,6.8,"Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil.","2,503"
