,Anime Title,Release Year,Genre,Duration,Rating,Description,No. of Votes
131,Dark Gathering,2023–OA,"Animation,Fantasy,Horror",NA,7.3,"Keitarô Gentôga takes a part-time job tutoring the child prodigy, Yayoi Hôzuki. Little does he know she's a gifted medium hell-bent on finding the spirit behind her mother's vanishing and she's gravely determined to drag Keitarô into it.",161
132,Ergo Proxy,2006,"Animation,Action,Adventure",25,7.9,"In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.","15,624"
133,Death Parade,2015,"Animation,Drama,Mystery",24,7.9,"After death, humans go to either heaven or hell. But for some, at the instant of their death, they arrive at the Quindecim, a bar attended by the mysterious white-haired Decim.","18,805"
134,Nier: Automata Ver1.1a,2023–OA,"Animation,Action,Adventure",23,7.3,"Animated adaptation of NieR: Automata (2017), where a long-running war on post-apocalyptic Earth between androids and machines soon unveils the truth of the world.","1,257"
135,The Disastrous Life of Saiki K.,2016–2018,"Animation,Comedy,Fantasy",24,8.3,"Saiki Kusuo is a powerful psychic who hates attracting attention, yet he is surrounded by colorful characters who always find a way to remove him from his everyday life.","9,660"
136,Harem in the Labyrinth of Another World,2022,"Animation,Action,Adventure",24,6.3,A high school student is transported to a fantasy world with distinct cheating advantages. He sets out on a quest to gain a harem of beautiful girls.,"1,237"
137,Belladonna of Sadness,1973,"Animation,Drama,Fantasy",86,7.3,"After being raped by an evil feudal lord and subsequently getting banished from her village, a peasant girl makes a pact with the Devil to gain magical powers and take her revenge.","7,249"
138,Vermeil in Gold: A Desperate Magician Barges Into the Magical World Alongside the Strongest Calamity,2022,"Animation,Comedy,Fantasy",24,6.6,"Alto Goldfield, a student at a magical academy inscribes a magic circle, ends up summoning a powerful demon named Vermeil, makes her his familiar.","1,406"
139,World's End Harem,2021–2022,"Animation,Drama,Romance",24,5.9,A man wakes from suspended animation to find himself in a world where only a million men survived an epidemic. He is selected for breeding as part of a repopulation program.,"1,511"
140,Panty & Stocking with Garterbelt,2010–2011,"Animation,Action,Comedy",23,7.3,"Two Angels, Panty and Stocking, are kicked out of Heaven for bad behaviour and sent Ghost hunting by Garterbelt, a Priest of Daten City.","2,799"
141,Kiss x sis,2010,"Animation,Comedy,Drama",24,6.0,"A middle-school boy is tormented by the suggestive teasing of his older twin step-sisters, both of whom love him.","2,269"
142,Trigun Stampede,2023–OA,"Animation,Action,Adventure",24,7.3,Follow gunman Vash the Stampede as he struggles to maintain his pacifist ways while avoiding the immense bounty on his head.,"1,527"
143,Plunderer,2020,"Animation,Action,Fantasy",24,6.4,"In a post-apocalyptic world, each citizen has their identity branded with their own ""Count,"" which defines their livelihood. But a mysterious figure has an agenda to steal away these Counts.","1,433"
144,The Quintessential Quintuplets,2019–2021,"Animation,Comedy,Drama",24,7.7,"A poor, straight A student is hired to tutor some rich quintuplets. The story is told as a flashback from a future that shows that he ends up getting married to one of them.","6,354"
145,Saint Seiya: Knights of the Zodiac,1986–1989,"Animation,Action,Adventure",24,8.5,"A group a young warriors known as 'Saints', each in possession of a 'cloth' guarded by a different constellation, must protect the reincarnation of the goddess Athena as she attempts to keep the Earth from being destroyed by evil forces.","10,826"
146,Gantz: O,2016,"Animation,Action,Drama",95,7.1,"After being brutally murdered in a subway station, a teen boy awakens to find himself resurrected by a strange computer named Gantz, and forced to fight a large force of invading aliens in Osaka.","16,186"
147,A Whisker Away,2020,"Animation,Adventure,Drama",104,6.7,"Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous.","12,716"
148,"Why the Hell are You Here, Teacher!?",2019,"Animation,Short,Comedy",12,6.4,A comedy about female teachers who can't help developing romantic interests in their male students.,"1,876"
149,Toradora!,2008–2009,"Animation,Comedy,Drama",24,8.0,Toradora tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes.,"17,728"
150,Evangelion: 1.0 You Are (Not) Alone,2007,"Animation,Action,Drama",98,7.5,The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,"26,502"
151,The Red Turtle,2016,"Animation,Drama,Family",80,7.5,"A man is shipwrecked on a deserted island and encounters a red turtle, which changes his life.","37,422"
152,Tokyo Godfathers,2003,"Animation,Adventure,Comedy",92,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.","44,140"
153,Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2015,"Animation,Comedy",22,7.0,"Tanukichi Okuma is roped into joining an obscene terrorist organization bent on the destruction of everything that his new school stands for, the most prestigious public morals school.","2,878"
154,Lupin III: The Castle of Cagliostro,1979,"Animation,Action,Adventure",102,7.6,"A dashing thief, his gang of desperadoes and an intrepid cop struggle to free a princess from an evil count, and learn the secret of a treasure that she holds part of the key to.","32,315"
155,Why Raeliana Ended Up at the Duke's Mansion,2023–OA,"Animation,Drama,Fantasy",23,7.4,"Living inside a fairy tale may sound like a dream, but for this heroine, it's more of a nightmare. After her mysterious death, Rinko is reborn as Raeliana - a loved and wealthy character in...                See full summary »",588
156,Dragon Ball Super: Broly,2018,"Animation,Action,Adventure",100,7.7,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.","30,406"
157,Golden Boy,1995–1996,"Animation,Comedy",165,8.0,"A University drop-out rides Japan on his bicycle, taking part-time jobs and trying not to take women.","6,644"
158,The Girl Who Leapt Through Time,2006,"Animation,Adventure,Comedy",98,7.7,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.","69,330"
159,Mirai,2018,"Animation,Adventure,Drama",98,7.0,"A young boy encounters a magical garden which enables him to travel through time and meet his relatives from different eras, with guidance by his younger sister from the future.","17,422"
160,"More Than a Married Couple, But Not Lovers.",2022,"Animation,Comedy,Drama",24,7.4,"High school student Jiro Yakuin paired with Akari Watanabe, a gal who finds Jiro repulsive at first, but they agree to attain enough points so that they can switch partners to the people they really like.","1,716"
161,Kemeko Deluxe!,2008,"Animation,Action,Comedy",24,6.2,"6-year old Sanpeita Kobayashi got engaged to his childhood friend, a mysterious pink-haired girl who promised they would meet again 10 years later, and she would become his bride. The series begins then.",91
162,Darling in the Franxx,2018,"Animation,Action,Drama",24,7.3,"In a future world where humanity has been driven to endangerment by giant beasts, a strike force is assembled to destroy the monsters and save the world.","12,671"
163,Grand Blue,2018,"Animation,Adventure,Comedy",24,7.8,"A college student spends his year at the seaside town of Izu, having fun on the beach with his school friends.","3,894"
164,Space Dandy,2014,"Animation,Adventure,Comedy",24,8.1,"The cosmic and comic adventures of Space Dandy, a handsome space explorer tasked to tour the universe and discover new alien beings.","4,453"
165,Tomo-chan Is a Girl!,2023,"Animation,Comedy,Drama",23,7.6,"Tomo is a tomboy who has been in love with her childhood friend Junichiro, and strives to make him see her as a romantic candidate.","1,900"
166,Sekirei,2008–2010,"Animation,Action,Comedy",23,7.3,"Shy and awkward, but moral and caring 19-year-old Minato, after failing to get into college again, runs into Musubi, a girl his age who surprises him with her superhuman abilities. He's ...                See full summary »","2,649"
167,Kimi ni Todoke: From Me to You,2009–2011,"Animation,Comedy,Drama",24,7.8,"Sawako Kuronuma is misunderstood due to her resemblance to the ghost girl from The Ring. But one day the nicest boy in the class, Kazehaya befriends her and everything changed after that and also everyone perspective of Sawako but there's going to be struggle await for her up in the future.","4,799"
168,When They Cry,2006,"Animation,Drama,Horror",24,7.8,The story of a group of young friends and the mysterious events that occur in the rural village of Hinamizawa.,"6,275"
169,"No Game, No Life",2014,"Animation,Adventure,Comedy",23,7.6,"Siblings Sora and Shiro make up the most feared team of pro gamers in the world, The Blank. When they manage to beat God himself in a game of chess, they are sent to a world where all disputes are settled with games.","17,589"
170,Rosario + Vampire,2008,"Animation,Comedy,Fantasy",25,6.9,Tskune accidentally gets on a bus to a school of monsters.,"3,522"
171,Mobile Suit Gundam: The Witch from Mercury,2022–2023,"Animation,Action,Drama",22,7.5,"In an era when a multitude of corporations have entered space and built a huge economic system, Suletta Mercury, from the remote planet Mercury, transfers to the Asticassia School of ...                See full summary »","1,049"
172,Neo Tokyo,1987,"Animation,Adventure,Fantasy",50,7.0,"A trilogy of separate stories. In ""Labyrinth labyrinthos"", a girl and her cat enter a strange world. In ""Running Man"", a racer takes on the ultimate opponent. In ""Construction Cancellation Order"", a man must shut down worker robots.","4,072"
173,Aesthetica of a Rogue Hero,2012,"Animation,Action,Fantasy",NA,6.9,The story follows a world where several young men and women regularly find themselves spirited away to a world of sword and magic called Alayzard. After those who survive and return are ...                See full summary »,"1,940"
174,Ghost in the Shell 2: Innocence,IOA2004,"Animation,Drama,Mystery",100,7.4,"In the year 2032, Batô, a cyborg detective for the anti-terrorist unit Public Security Section 9, investigates the case of a female robot--one created solely for sexual pleasure--who slaughtered her owner.","39,690"
175,Welcome to the N.H.K.,2006,"Animation,Comedy,Drama",24,8.3,This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK.,"7,576"
176,Sacrificial Princess & the King of Beasts,2023–OA,"Animation,Drama,Fantasy",23,7.0,"The king of the beasts and demons receives female human sacrifices to assert the dominance over the human race. However, the 99th sacrifice intrigues him and lets her stay as his consort.",182
177,Bubble,2022,"Animation,Action,Adventure",100,6.3,"After bubbles that broke the laws of gravity rained down upon the world. Cut off from the outside world, Tokyo has become a playground for a group of young people who have lost their families.","7,330"
178,Inuyashiki,2017,"Animation,Action,Drama",24,7.7,A middle-aged office worker encounters aliens and is gifted with alien technology and limitless powers.,"4,825"
179,Summer Wars,2009,"Animation,Action,Adventure",114,7.4,"A student tries to fix a problem he accidentally caused in OZ, a digital world, while pretending to be the fiancé of his friend at her grandmother's 90th birthday.","31,130"
180,Barefoot Gen,1983,"Animation,Biography,Drama",83,8.0,"A powerful statement against war, Barefoot Gen is a disturbing story about the effect of the atomic bomb on a boy's life and the lives of the Japanese people.","8,839"
181,Romantic Killer,2022,"Animation,Comedy,Fantasy",24,7.6,"Living her best single life, romance is the last thing on Anzu's mind, until a tiny matchmaking wizard suddenly turns her life into a clichéd rom-com.","2,289"
182,The Boy and the Beast,2015,"Animation,Action,Adventure",119,7.6,"When a young orphaned boy living on the streets of Shibuya stumbles upon a fantastic world of beasts, he's taken in by a gruff warrior beast looking for an apprentice.","25,981"
183,Blood: The Last Vampire,2000,"Animation,Action,Horror",48,6.6,"Saya is a Japanese vampire slayer whose next mission is in a high school on a US military base in 1960s Japan, where she poses as a student. She uses a katana/samurai sword to kill vampires.","13,071"
184,Drifting Home,2022,"Animation,Adventure,Drama",119,6.3,Follows two childhood friends who drift into a mysterious sea with an entire housing complex.,"3,443"
185,How NOT to Summon a Demon Lord,2018–2021,"Animation,Adventure,Comedy",24,7.0,An elite player is summoned by two maidens to save a fantasy game.,"4,245"
186,Aggretsuko,2018–2023,"Animation,Short,Comedy",15,8.0,"Frustrated with her thankless office job, the 25-year-old red panda copes with her daily struggles by belting out heavy metal karaoke after work.","7,182"
187,Made in Abyss: Dawn of the Deep Soul,2020,"Animation,Adventure,Drama",113,8.0,"Riko, Reg, and their new friend, Nanachi, continue their journey down the Abyss and arrive at the 5th layer. But in order for them to continue to the 6th layer, they must encounter the haunting figure of Nanachi's past: Bondrewd the Novel.","5,016"
